X,Y,SHIFT,REPORT_DAT,CCN,OFFENSE,METHOD,DISTRICT
-77.00403438,38.8775382,EVENING,11/21/2023,23190271,MOTOR VEHICLE THEFT,OTHERS,1
-76.92051575,38.89527062,EVENING,10/24/2023,23175190,ASSAULT W/DANGEROUS WEAPON,GUN,6
-76.9869109,38.88284681,EVENING,10/25/2023,23175345,BURGLARY,OTHERS,1
-77.01432715,38.97484567,EVENING,10/25/2023,23175843,THEFT/OTHER,OTHERS,4
-77.01989985,38.91409892,DAY,10/22/2023,23173998,THEFT F/AUTO,OTHERS,3
-77.05808284,38.93483207,DAY,10/22/2023,23174050,THEFT/OTHER,OTHERS,2
-77.04295164,38.93508427,EVENING,10/22/2023,23174234,THEFT F/AUTO,OTHERS,3
-77.00502202,38.87885636,MIDNIGHT,11/4/2023,23181001,THEFT/OTHER,OTHERS,1
-76.98155566,38.84654551,MIDNIGHT,11/5/2023,23181442,THEFT F/AUTO,OTHERS,7
-76.99111984,38.93402912,MIDNIGHT,11/5/2023,23181696,MOTOR VEHICLE THEFT,OTHERS,5
-77.07002414,38.95536965,EVENING,11/6/2023,23182150,THEFT/OTHER,OTHERS,2
-77.04418254,38.90046272,DAY,11/6/2023,23182475,THEFT/OTHER,OTHERS,2
-76.98007655,38.84629016,DAY,11/7/2023,23182968,THEFT/OTHER,OTHERS,7
-76.97309013,38.86191152,EVENING,11/7/2023,23183030,BURGLARY,OTHERS,0
-76.99111984,38.93402912,DAY,11/8/2023,23183547,THEFT/OTHER,OTHERS,5
-77.02189701,38.91701817,MIDNIGHT,11/9/2023,23183937,MOTOR VEHICLE THEFT,OTHERS,3
-77.00415151,38.92576723,DAY,11/9/2023,23184067,MOTOR VEHICLE THEFT,OTHERS,5
-77.03273216,38.92952468,EVENING,11/9/2023,23184302,THEFT/OTHER,OTHERS,3
-76.95638368,38.88519671,EVENING,11/10/2023,23184810,THEFT/OTHER,OTHERS,6
-77.02885156,38.90133592,DAY,11/11/2023,23185321,THEFT F/AUTO,OTHERS,2
-77.02191885,38.89913749,MIDNIGHT,11/15/2023,23187250,THEFT/OTHER,OTHERS,1
-77.04085865,38.90520683,MIDNIGHT,11/19/2023,23187414,THEFT/OTHER,OTHERS,2
-76.92189596,38.89648236,EVENING,11/16/2023,23188109,ROBBERY,GUN,6
-77.02660132,38.9529359,EVENING,11/18/2023,23188597,THEFT/OTHER,OTHERS,4
-77.07142691,38.91181481,DAY,11/18/2023,23189104,THEFT/OTHER,OTHERS,2
-76.97079517,38.87429889,EVENING,11/18/2023,23189177,MOTOR VEHICLE THEFT,OTHERS,6
-76.98366109,38.87875911,EVENING,11/19/2023,23189205,THEFT/OTHER,OTHERS,1
-77.02332878,38.96555501,DAY,11/20/2023,23190146,THEFT/OTHER,OTHERS,4
-77.04415874,38.92013101,EVENING,11/20/2023,23190191,ASSAULT W/DANGEROUS WEAPON,GUN,3
-77.02695974,38.97299315,EVENING,11/21/2023,23190357,ROBBERY,GUN,4
-77.00708114,38.87648984,EVENING,10/23/2023,23174792,THEFT F/AUTO,OTHERS,1
-77.03078785,38.91919032,EVENING,10/24/2023,23175247,THEFT F/AUTO,OTHERS,3
-77.03363388,38.90252598,MIDNIGHT,10/25/2023,23175523,MOTOR VEHICLE THEFT,OTHERS,2
-77.05808284,38.93483207,EVENING,10/26/2023,23175967,THEFT/OTHER,OTHERS,2
-77.01466812,38.92640669,EVENING,10/26/2023,23175999,THEFT/OTHER,OTHERS,4
-77.01958039,38.95753835,DAY,10/26/2023,23176197,THEFT F/AUTO,OTHERS,4
-76.96642532,38.87338255,DAY,10/27/2023,23176804,THEFT/OTHER,OTHERS,6
-76.98473876,38.91383721,MIDNIGHT,10/29/2023,23177700,MOTOR VEHICLE THEFT,OTHERS,5
-77.03325664,38.90965936,MIDNIGHT,10/29/2023,23177717,THEFT/OTHER,OTHERS,2
-77.04166139,38.91521175,MIDNIGHT,10/29/2023,23177777,ROBBERY,OTHERS,3
-77.02091907,38.89735051,DAY,10/29/2023,23177966,THEFT F/AUTO,OTHERS,1
-77.05808284,38.93483207,DAY,11/12/2023,23185723,THEFT/OTHER,OTHERS,2
-76.92446159,38.88976101,EVENING,11/12/2023,23185895,ASSAULT W/DANGEROUS WEAPON,GUN,6
-76.99696158,38.83199581,EVENING,11/13/2023,23186020,ASSAULT W/DANGEROUS WEAPON,KNIFE,7
-77.02091907,38.89735051,DAY,11/13/2023,23186383,THEFT F/AUTO,OTHERS,1
-77.03273216,38.92952468,EVENING,11/13/2023,23186419,THEFT/OTHER,OTHERS,3
-76.97409213,38.87179938,EVENING,10/30/2023,23178210,THEFT/OTHER,OTHERS,6
-77.02808366,38.91629302,MIDNIGHT,10/30/2023,23178308,THEFT F/AUTO,OTHERS,3
-77.00324479,38.87648865,EVENING,10/30/2023,23178714,MOTOR VEHICLE THEFT,OTHERS,1
-77.03325664,38.90965936,DAY,10/31/2023,23179162,THEFT/OTHER,OTHERS,2
-77.08243491,38.94580945,DAY,11/1/2023,23179653,MOTOR VEHICLE THEFT,OTHERS,2
-77.04085865,38.90520683,DAY,11/2/2023,23180228,THEFT/OTHER,OTHERS,2
-77.02294802,38.91724425,DAY,11/3/2023,23180693,THEFT/OTHER,OTHERS,3
-76.98850787,38.84255336,MIDNIGHT,11/5/2023,23181667,THEFT/OTHER,OTHERS,7
-77.03272783,38.9477372,EVENING,11/6/2023,23182037,MOTOR VEHICLE THEFT,OTHERS,4
-77.08560518,38.9496965,EVENING,11/7/2023,23183148,THEFT F/AUTO,OTHERS,2
-76.9955522,38.82920993,MIDNIGHT,11/8/2023,23183368,ROBBERY,OTHERS,7
-76.96579752,38.86807609,DAY,11/8/2023,23183447,THEFT F/AUTO,OTHERS,6
-76.95528978,38.92418337,DAY,11/8/2023,23183481,MOTOR VEHICLE THEFT,OTHERS,5
-77.02651467,38.90858117,MIDNIGHT,11/9/2023,23184001,THEFT F/AUTO,OTHERS,3
-76.95266541,38.92054352,EVENING,11/14/2023,23186511,ROBBERY,GUN,5
-77.04168313,38.91828899,MIDNIGHT,11/14/2023,23186647,BURGLARY,OTHERS,3
-76.91570045,38.88795011,MIDNIGHT,11/15/2023,23187199,ROBBERY,OTHERS,6
-77.00053907,38.87434209,DAY,11/15/2023,23187335,MOTOR VEHICLE THEFT,OTHERS,1
-77.0014018,38.95833712,MIDNIGHT,11/16/2023,23187759,THEFT/OTHER,OTHERS,4
-77.04414897,38.90937262,DAY,11/16/2023,23188025,THEFT/OTHER,OTHERS,2
-76.98261077,38.90128315,DAY,11/17/2023,23188433,THEFT/OTHER,OTHERS,5
-77.05190543,38.9242076,MIDNIGHT,11/18/2023,23188512,THEFT/OTHER,OTHERS,2
-77.03325664,38.90965936,EVENING,11/17/2023,23188648,THEFT/OTHER,OTHERS,2
-76.92786715,38.8821593,EVENING,11/18/2023,23188752,THEFT F/AUTO,OTHERS,6
-76.99704897,38.94501647,EVENING,11/18/2023,23189223,MOTOR VEHICLE THEFT,OTHERS,4
-77.09347887,38.94791701,DAY,11/20/2023,23190102,THEFT F/AUTO,OTHERS,2
-76.98136992,38.90321137,DAY,11/7/2023,23424396,THEFT/OTHER,OTHERS,5
-77.05437003,38.89798941,DAY,11/12/2023,23424665,THEFT F/AUTO,OTHERS,2
-76.98531592,38.90456823,MIDNIGHT,11/15/2023,23424717,THEFT/OTHER,OTHERS,5
-77.01311321,38.90076716,DAY,11/19/2023,23424892,THEFT/OTHER,OTHERS,1
-77.00747637,38.90565019,DAY,11/19/2023,23424911,THEFT/OTHER,OTHERS,5
-76.99282474,38.9513219,MIDNIGHT,10/24/2023,23171007,THEFT F/AUTO,OTHERS,4
-76.98028571,38.86948628,DAY,10/26/2023,23176221,ROBBERY,OTHERS,6
-76.96753631,38.86006285,DAY,10/29/2023,23177938,THEFT/OTHER,OTHERS,6
-77.00161375,38.9126099,MIDNIGHT,10/30/2023,23178317,MOTOR VEHICLE THEFT,OTHERS,5
-77.04554866,38.91475745,MIDNIGHT,10/31/2023,23178904,THEFT/OTHER,OTHERS,2
-76.96743921,38.92237771,DAY,10/31/2023,23179099,THEFT F/AUTO,OTHERS,5
-77.00023795,38.90751507,DAY,11/1/2023,23179671,MOTOR VEHICLE THEFT,OTHERS,5
-77.0275628,38.92074074,DAY,11/1/2023,23179679,THEFT F/AUTO,OTHERS,3
-77.02962298,38.91756408,EVENING,11/2/2023,23180407,THEFT F/AUTO,OTHERS,3
-77.01517777,38.89783019,EVENING,11/3/2023,23180529,THEFT/OTHER,OTHERS,1
-76.9570476,38.89356917,EVENING,10/23/2023,23174315,MOTOR VEHICLE THEFT,OTHERS,6
-76.97688147,38.90279997,MIDNIGHT,10/23/2023,23174389,ASSAULT W/DANGEROUS WEAPON,GUN,5
-77.02808821,38.91995013,DAY,10/23/2023,23174447,THEFT F/AUTO,OTHERS,3
-76.97009346,38.86304964,DAY,10/25/2023,23175552,MOTOR VEHICLE THEFT,OTHERS,6
-76.96583972,38.86032036,EVENING,10/25/2023,23175836,THEFT/OTHER,OTHERS,6
-77.03180112,38.93317573,EVENING,10/26/2023,23175973,MOTOR VEHICLE THEFT,OTHERS,4
-77.02968831,38.96757619,EVENING,10/26/2023,23176028,ASSAULT W/DANGEROUS WEAPON,KNIFE,4
-76.9212075,38.89714952,EVENING,10/26/2023,23176038,ROBBERY,GUN,6
-77.01060908,38.91038807,DAY,10/26/2023,23176223,THEFT/OTHER,OTHERS,3
-77.03849031,38.91002178,DAY,10/26/2023,23176237,THEFT/OTHER,OTHERS,2
-76.9986028,38.9098593,DAY,10/27/2023,23176846,MOTOR VEHICLE THEFT,OTHERS,5
-77.02288925,38.92670868,DAY,10/27/2023,23176851,THEFT/OTHER,OTHERS,3
-77.03572977,38.93980894,EVENING,10/29/2023,23178091,THEFT F/AUTO,OTHERS,4
-77.0116176,38.95713215,DAY,10/30/2023,23178389,MOTOR VEHICLE THEFT,OTHERS,4
-76.96995406,38.89777119,MIDNIGHT,10/31/2023,23178881,THEFT/OTHER,OTHERS,5
-77.02531246,38.93288554,EVENING,10/31/2023,23179382,MOTOR VEHICLE THEFT,OTHERS,4
-76.98919534,38.86615736,MIDNIGHT,11/1/2023,23179516,BURGLARY,OTHERS,7
-77.02962591,38.91629318,EVENING,11/3/2023,23180513,ROBBERY,OTHERS,3
-76.99715929,38.92094079,EVENING,11/4/2023,23181518,MOTOR VEHICLE THEFT,OTHERS,5
-77.02808366,38.91629302,MIDNIGHT,11/5/2023,23181753,THEFT F/AUTO,OTHERS,3
-77.03552645,38.91557997,DAY,11/5/2023,23181878,BURGLARY,OTHERS,3
-76.9799399,38.90155459,EVENING,11/5/2023,23182072,THEFT F/AUTO,OTHERS,5
-77.03655237,38.90078038,MIDNIGHT,11/6/2023,23182219,THEFT/OTHER,OTHERS,2
-76.98261077,38.90128315,DAY,11/6/2023,23182473,THEFT/OTHER,OTHERS,5
-76.9499672,38.90288802,DAY,11/7/2023,23182988,ASSAULT W/DANGEROUS WEAPON,GUN,6
-76.96559761,38.87881104,EVENING,11/5/2023,23182031,THEFT/OTHER,OTHERS,6
-77.03944955,38.90078169,DAY,11/19/2023,23182395,MOTOR VEHICLE THEFT,OTHERS,2
-77.02124708,38.94044287,DAY,11/6/2023,23182432,MOTOR VEHICLE THEFT,OTHERS,4
-76.99951036,38.90192628,DAY,11/7/2023,23183020,BURGLARY,OTHERS,5
-77.03325664,38.90965936,EVENING,11/8/2023,23183267,THEFT/OTHER,OTHERS,2
-77.01661172,38.94930642,EVENING,11/9/2023,23184334,ASSAULT W/DANGEROUS WEAPON,GUN,4
-76.99617695,38.8853659,DAY,11/10/2023,23184756,THEFT/OTHER,OTHERS,1
-77.02316445,38.92858956,EVENING,11/10/2023,23184873,THEFT/OTHER,OTHERS,4
-77.02765588,38.95350147,EVENING,11/11/2023,23184986,ROBBERY,GUN,4
-77.00826341,38.87929416,MIDNIGHT,11/12/2023,23185444,THEFT/OTHER,OTHERS,1
-77.03723685,38.93974631,EVENING,11/13/2023,23185765,THEFT F/AUTO,OTHERS,4
-77.03510288,38.95154612,DAY,11/12/2023,23185791,THEFT F/AUTO,OTHERS,4
-76.94139642,38.88978602,DAY,11/14/2023,23186744,MOTOR VEHICLE THEFT,OTHERS,6
-77.03078785,38.91919032,DAY,11/14/2023,23186951,THEFT/OTHER,OTHERS,3
-77.02205142,38.92486844,EVENING,11/14/2023,23186989,THEFT F/AUTO,OTHERS,3
-77.02731116,38.96945967,DAY,11/7/2023,23183067,THEFT/OTHER,OTHERS,4
-77.03272896,38.94240529,MIDNIGHT,11/8/2023,23183197,THEFT/OTHER,OTHERS,4
-77.0106955,38.8677715,MIDNIGHT,11/9/2023,23184010,THEFT/OTHER,OTHERS,1
-77.01640968,38.87646818,DAY,11/9/2023,23184140,THEFT/OTHER,OTHERS,1
-77.05808284,38.93483207,DAY,11/10/2023,23184711,THEFT/OTHER,OTHERS,2
