X,Y,CCN,REPORT_DAT
-77.03325664,38.90965936,23183267,11/8/2023
-77.01661172,38.94930642,23184334,11/9/2023
-76.99617695,38.8853659,23184756,11/10/2023
-77.02316445,38.92858956,23184873,11/10/2023
-77.02765588,38.95350147,23184986,11/11/2023
-77.00826341,38.87929416,23185444,11/12/2023
-77.03723685,38.93974631,23185765,11/13/2023
-77.03510288,38.95154612,23185791,11/12/2023
-76.94139642,38.88978602,23186744,11/14/2023
-77.03078785,38.91919032,23186951,11/14/2023
-77.02205142,38.92486844,23186989,11/14/2023
-77.02731116,38.96945967,23183067,11/7/2023
-77.03272896,38.94240529,23183197,11/8/2023
-77.0106955,38.8677715,23184010,11/9/2023
-77.01640968,38.87646818,23184140,11/9/2023
-77.05808284,38.93483207,23184711,11/10/2023
-77.03195469,38.91298543,23184914,11/10/2023
-77.03273216,38.92952468,23185015,11/11/2023
-77.0344023,38.9893967,23185224,11/11/2023
-77.04492943,38.91855155,23185608,11/12/2023
-77.03273704,38.93187612,23185609,11/12/2023
-77.0319546,38.91483853,23185628,11/12/2023
-77.02808115,38.90992007,23185742,11/12/2023
-77.02498163,38.89982097,23186084,11/13/2023
-77.01517777,38.89783019,23186092,11/13/2023
-77.03325664,38.90965936,23187474,11/15/2023
-76.98919534,38.86615736,23187932,11/17/2023
-77.04418254,38.90046272,23188009,11/16/2023
-77.03261635,38.90453397,23188110,11/17/2023
-76.98458021,38.89147619,23188434,11/17/2023
-76.9875659,38.90132441,23188570,11/17/2023
-77.07103891,38.91967437,23188574,11/18/2023
-77.02116623,38.96729456,23188657,11/18/2023
-77.03325664,38.90965936,23188743,11/18/2023
-77.02756259,38.91811905,23189374,11/19/2023
-77.00745722,38.87797363,23189675,11/20/2023
-77.08194599,38.92259133,23424218,11/2/2023
-76.97298225,38.91556765,23190037,11/20/2023
-76.96284128,38.87078168,23190249,11/20/2023
-77.03109484,38.90021641,23424216,11/2/2023
-76.99496451,38.89280557,23424217,11/2/2023
-76.9946386,38.83148083,23424219,11/2/2023
-77.02887543,38.92243615,23175106,10/24/2023
-77.02396872,38.90791663,23175112,10/25/2023
-77.07993962,38.94836485,23175250,10/24/2023
-77.03273167,38.93776214,23175759,10/25/2023
-77.03261635,38.90453397,23176081,10/26/2023
-77.02554831,38.87973748,23176370,10/27/2023
-77.03328634,38.91919369,23176502,10/26/2023
-76.99888591,38.90647568,23176600,10/27/2023
-77.0183567,38.91357065,23176701,10/27/2023
-76.97171595,38.9155697,23176839,10/27/2023
-77.02668154,38.92778626,23176949,10/31/2023
-77.03273216,38.92952468,23187107,11/15/2023
-77.02651085,38.89735568,23187479,11/15/2023
-76.9602969,38.87696408,23187687,11/16/2023
-76.96502176,38.85615697,23188078,11/16/2023
-77.02703927,38.910104,23424102,10/24/2023
-77.03180112,38.93317573,23424297,11/4/2023
-77.00540126,38.87991429,23424542,11/9/2023
-76.97988194,38.88868011,23424553,11/9/2023
-76.9177803,38.89387675,23424712,11/14/2023
-77.01896803,38.95945604,23188552,11/17/2023
-77.0410309,38.91782917,23188675,11/17/2023
-77.02191901,38.90791316,23188734,11/18/2023
-76.93126383,38.87759209,23189030,11/18/2023
-77.024749,38.93573012,23189046,11/18/2023
-76.99773692,38.92788874,23189126,11/18/2023
-76.99952189,38.91966074,23189196,11/19/2023
-77.00435542,38.87701219,23189343,11/19/2023
-76.94764978,38.89666367,23189578,11/19/2023
-77.0329955,38.92263685,23189820,11/20/2023
-76.99587105,38.8524577,23185087,11/11/2023
-77.02968582,38.98654383,23185362,11/11/2023
-76.93858826,38.89113298,23185818,11/12/2023
-76.97892157,38.84389198,23185845,11/12/2023
-76.93006356,38.87770778,23185997,11/13/2023
-76.9869109,38.88284681,23186024,11/13/2023
-76.99845259,38.83972359,23173789,10/22/2023
-77.02344817,38.91777024,23174039,10/22/2023
-77.04776772,38.90375017,23175134,10/24/2023
-77.02651085,38.89735568,23175549,10/25/2023
-77.01258142,38.82565342,23175615,10/25/2023
-77.04085865,38.90520683,23175673,10/25/2023
-77.00470711,38.88507018,23175814,10/25/2023
-77.03324381,38.91700459,23176222,10/26/2023
-77.00255229,38.90565373,23176276,10/26/2023
-76.99557898,38.93237436,23424135,10/27/2023
-77.09774231,38.93596365,23178582,10/30/2023
-76.98007376,38.91719616,23178583,10/30/2023
-77.02510435,38.94028518,23178788,10/31/2023
-77.04166268,38.91447064,23178998,10/31/2023
-77.00280546,38.9025226,23179207,10/31/2023
-77.03455933,38.91002536,23179713,11/2/2023
-76.96063415,38.88284586,23179960,11/2/2023
-77.03651866,38.9115042,23180282,11/2/2023
-77.02037581,38.93987938,23180363,11/2/2023
-77.00825983,38.83248628,23180665,11/3/2023
-77.0597587,38.93428469,23180882,11/3/2023
-77.03459323,38.93189648,23424191,10/31/2023
-77.04168568,38.90607134,23424358,11/6/2023
-77.02704113,38.90314099,23424387,11/7/2023
-76.97511483,38.91729421,23424598,11/10/2023
-76.99951424,38.88200774,23424690,11/14/2023
-77.03325041,38.91557938,23424805,11/18/2023
-77.00587997,38.87797517,23186374,11/13/2023
-76.96562132,38.92481142,23186745,11/14/2023
-77.03084342,38.96367505,23186909,11/14/2023
-77.03325664,38.90965936,23187011,11/14/2023
-77.06991506,38.96672454,23180778,11/3/2023
-77.10109601,38.93153385,23180887,11/3/2023
-77.02883943,38.9186668,23181235,11/4/2023
-77.04008237,38.90965326,23181329,11/4/2023
-77.03156242,38.95516169,23182363,11/7/2023
-76.9901195,38.90507564,23182981,11/7/2023
-76.93679771,38.89189504,23183013,11/8/2023
-76.99754677,38.91039708,23183303,11/8/2023
-77.00130067,38.90469382,23183994,11/9/2023
-76.99754677,38.91039708,23184098,11/9/2023
-77.08292277,38.95703117,23184190,11/9/2023
-76.97763609,38.92904383,23184227,11/9/2023
-76.96762175,38.85445748,23184252,11/10/2023
-77.03003607,38.88757506,23184753,11/10/2023
-76.9467025,38.86988617,23185099,11/11/2023
-77.02775325,38.98400687,23185188,11/11/2023
-77.05703749,38.90566713,23185481,11/12/2023
-77.02100166,38.95427891,23185691,11/16/2023
-77.02497131,38.8973516,23186052,11/13/2023
-77.03325041,38.91557938,23186125,11/13/2023
-77.04946294,38.90527296,23186464,11/13/2023
-77.07993962,38.94836485,23186757,11/14/2023
-76.93126383,38.87759209,23186836,11/14/2023
-77.02755393,38.96671814,23187508,11/15/2023
-77.02962228,38.91865553,23188729,11/18/2023
-77.0274912,38.96741936,23189068,11/18/2023
-77.04881506,38.90451815,23189264,11/19/2023
-76.96478216,38.93454591,23180663,11/3/2023
-77.03273216,38.92952468,23181077,11/4/2023
-76.99632679,38.95066401,23190160,11/20/2023
-76.97992529,38.92727069,23181456,11/4/2023
-76.97614127,38.84814442,23182567,11/6/2023
-76.96370713,38.92086411,23182671,11/6/2023
-77.0052501,38.94088585,23183728,11/8/2023
-77.03649202,38.92185595,23183886,11/9/2023
-76.9949746,38.87788174,23184245,11/9/2023
-76.96661854,38.93287388,23185053,11/11/2023
-77.02650788,38.90085263,23185409,11/13/2023
-77.02962228,38.91865553,23185853,11/12/2023
-77.02971375,38.92426814,23186056,11/13/2023
-77.0388249,38.94347937,23186301,11/13/2023
-77.02731116,38.96945967,23186752,11/14/2023
-76.96997793,38.8547916,23186820,11/14/2023
-77.01311321,38.90076716,23187415,11/15/2023
-77.02651085,38.89735568,23187431,11/15/2023
-77.04487785,38.91335557,23187570,11/16/2023
-77.00204344,38.87885244,23188791,11/18/2023
-77.01432715,38.97484567,23189187,11/18/2023
-76.99419714,38.83489376,23189337,11/19/2023
-77.07993962,38.94836485,23189652,11/19/2023
-77.03194745,38.96425191,23189882,11/20/2023
-77.03938331,38.93261428,23177230,10/28/2023
-76.98924021,38.90410572,23177886,10/29/2023
-76.99898067,38.8989183,23178161,10/30/2023
-77.0013289,38.9407518,23178279,10/30/2023
-77.05402498,38.90526481,23178496,10/30/2023
-77.00502202,38.87885636,23178787,10/31/2023
-77.05163139,38.90091315,23178864,10/31/2023
-77.03431262,38.93427782,23178905,10/31/2023
-77.04946294,38.90527296,23190180,11/20/2023
-77.0250321,38.91947699,23424631,11/11/2023
-76.97699221,38.89900234,23424643,11/12/2023
-76.9869109,38.88284681,23424699,11/14/2023
-77.03078841,38.91700787,23179102,10/31/2023
-76.95290168,38.91985367,23179143,10/31/2023
-77.0787482,38.94879941,23179289,10/31/2023
-76.95277249,38.88509315,23180639,11/3/2023
-76.94764978,38.89666367,23180699,11/3/2023
-76.96419638,38.8752167,23180924,11/3/2023
-76.96404295,38.85314121,23181011,11/4/2023
-77.0639982,38.90515888,23181556,11/5/2023
-77.0284619,38.9206908,23181613,11/5/2023
-76.99519376,38.95139454,23182587,11/6/2023
-76.98113923,38.8369527,23183074,11/7/2023
-76.9568373,38.93003225,23184064,11/9/2023
-77.02583467,38.92612262,23184243,11/15/2023
-77.06863774,38.93681818,23184558,11/10/2023
-76.97526774,38.92237222,23184632,11/10/2023
-77.01555516,38.95690703,23184898,11/10/2023
-77.03272826,38.9466672,23184995,11/11/2023
-77.03273216,38.92952468,23180375,11/2/2023
-77.02497131,38.8973516,23180443,11/2/2023
-77.04129558,38.93283504,23180769,11/3/2023
-76.98899678,38.90224854,23180823,11/3/2023
-76.97733714,38.85215648,23180875,11/3/2023
-76.95943174,38.88996694,23180967,11/3/2023
-77.04256995,38.90566168,23181994,11/5/2023
-77.04274513,38.91113662,23182033,11/5/2023
-76.99024621,38.89319569,23182846,11/7/2023
-76.99715929,38.92094079,23183315,11/8/2023
-77.0319539,38.91224467,23183586,11/8/2023
-77.10426757,38.93351658,23184851,11/10/2023
-77.02038597,38.9140983,23185045,11/11/2023
-77.00140645,38.90754767,23185422,11/12/2023
-77.03802709,38.93975065,23185729,11/12/2023
-77.03097915,38.92476129,23185747,11/12/2023
-77.02755376,38.90093076,23185985,11/13/2023
-76.96367915,38.87900117,23173873,10/22/2023
-77.00905112,38.91372228,23174168,10/22/2023
-77.03364163,38.92875115,23174345,10/23/2023
-77.02452627,38.91826322,23174468,10/23/2023
-77.02808821,38.90911824,23175146,10/25/2023
-76.93384045,38.87527896,23177762,10/29/2023
-76.99153532,38.88203766,23424849,11/18/2023
-77.00005295,38.88655147,23424856,11/18/2023
-77.02363202,38.94781993,23424904,11/19/2023
-76.98691539,38.88981002,23424364,11/7/2023
-77.01407332,38.87929424,23424496,11/9/2023
-76.97283463,38.90444186,23187710,11/16/2023
-77.03280662,38.89735525,23187873,11/16/2023
-76.99288061,38.83204546,23188034,11/16/2023
-77.02499824,38.90181245,23188087,11/16/2023
-76.91570045,38.88795011,23188520,11/17/2023
-77.00471453,38.83108768,23189706,11/19/2023
-76.99372545,38.9126674,23189788,11/20/2023
-77.03851138,38.90314057,23189910,11/20/2023
-77.03181589,38.930608,23190076,11/20/2023
-76.93116492,38.89853373,23190236,11/20/2023
-76.99064226,38.85997366,23185732,11/12/2023
-77.07103891,38.91967437,23186658,11/14/2023
-76.98246248,38.89998421,23187104,11/15/2023
-77.04087789,38.92387768,23187412,11/15/2023
-77.03648163,38.92792964,23187996,11/16/2023
-77.01517777,38.89783019,23188033,11/16/2023
-77.00423077,38.96127465,23188101,11/16/2023
-77.03195405,38.90925039,23188104,11/17/2023
-77.03325664,38.90965936,23188168,11/17/2023
-77.00526076,38.96414239,23188472,11/17/2023
-77.00586628,38.87556636,23188611,11/18/2023
-77.03325662,38.90838937,23188934,11/18/2023
-76.94962773,38.89448181,23189224,11/18/2023
-77.04168568,38.90607134,23189599,11/19/2023
-76.94069421,38.90291233,23186281,11/13/2023
-77.03107956,38.94900395,23186323,11/13/2023
-77.02704248,38.92526736,23186498,11/16/2023
-77.00540126,38.87991429,23186864,11/14/2023
-77.00005193,38.87648769,23187222,11/16/2023
-76.98207382,38.86622666,23188600,11/17/2023
-77.00351153,38.89734485,23188867,11/18/2023
-77.00767688,38.83081408,23189040,11/18/2023
-77.01217673,38.90192547,23178427,10/30/2023
-76.99897673,38.90021235,23179150,10/31/2023
-76.97686038,38.9017086,23179189,10/31/2023
-76.99087068,38.84283507,23179416,11/1/2023
-77.07002414,38.95536965,23179947,11/2/2023
-77.0005755,38.84114378,23180058,11/2/2023
-76.98820137,38.92349373,23181047,11/4/2023
-77.00705235,38.8256085,23181496,11/4/2023
-77.01059737,38.92238023,23181651,11/5/2023
-77.02117529,38.96555065,23181890,11/5/2023
-76.93417029,38.8875163,23181973,11/5/2023
-77.02962507,38.9148387,23182013,11/5/2023
-76.94256532,38.87097287,23182171,11/6/2023
-76.91229191,38.89363139,23182449,11/6/2023
-76.98365223,38.88624562,23424755,11/16/2023
-77.02115386,38.95749124,23424798,11/18/2023
-77.01444084,38.88324923,23424861,11/18/2023
-77.04295382,38.91782695,23424880,11/19/2023
-77.03273167,38.93776214,23179002,10/31/2023
-76.9377625,38.88020608,23179127,10/31/2023
-77.00203729,38.91371738,23179508,11/1/2023
-77.02365021,38.95848869,23180549,11/3/2023
-77.00203746,38.91177537,23180848,11/3/2023
-77.08116602,38.95596321,23180981,11/3/2023
-77.0319539,38.91224467,23181388,11/4/2023
-76.98392992,38.91476496,23182143,11/6/2023
-77.05180167,38.89805616,23182323,11/6/2023
-77.03079075,38.90374525,23183169,11/7/2023
-77.00821528,38.91371954,23183458,11/8/2023
-77.06609316,38.9092893,23184200,11/9/2023
-77.00668875,38.94417503,23184389,11/10/2023
-76.9674602,38.8758815,23184915,11/10/2023
-77.03186735,38.92033715,23185313,11/11/2023
-77.00203746,38.91177537,23185810,11/12/2023
-76.93858826,38.89113298,23186167,11/13/2023
-76.98354747,38.90968879,23187070,11/15/2023
-77.04135963,38.90606965,23189911,11/20/2023
-77.01755757,38.89733701,23190402,11/21/2023
-77.03838302,38.92318948,23173909,10/22/2023
-77.00628757,38.87648988,23173965,10/22/2023
-77.01862432,38.91622113,23174173,10/22/2023
-77.058879,38.93620283,23174989,10/24/2023
-77.01990154,38.91478382,23175802,10/25/2023
-77.03799463,38.93035158,23176152,10/26/2023
-77.058879,38.93620283,23176759,10/27/2023
-77.06398436,38.90862575,23177042,10/29/2023
-76.99453164,38.87667892,23177428,10/28/2023
-77.06391816,38.94487643,23177937,10/29/2023
-77.02720446,38.93510134,23177959,10/29/2023
-77.01432715,38.97484567,23178213,10/30/2023
-76.9986028,38.9098593,23173988,10/22/2023
-77.00746436,38.87556663,23174194,10/22/2023
-76.9709957,38.92558768,23174696,10/23/2023
-76.98076751,38.8892447,23174816,10/24/2023
-77.03121981,38.9376132,23175150,10/24/2023
-77.01755223,38.90374159,23175777,10/25/2023
-77.02598861,38.89905982,23176075,10/26/2023
-77.04256708,38.90375065,23176573,10/27/2023
-76.9973071,38.90021115,23176936,10/27/2023
-76.99152353,38.83539902,23174481,10/24/2023
-76.99320205,38.88411241,23174553,10/23/2023
-76.98520061,38.92299568,23174643,10/23/2023
-77.06293694,38.97687808,23175257,10/24/2023
-76.9663066,38.92424905,23175803,10/25/2023
-77.03273216,38.92952468,23175839,10/25/2023
-77.00905013,38.95404543,23176190,10/27/2023
-77.02962124,38.89783363,23177533,10/29/2023
-77.00839022,38.89721173,23177722,10/29/2023
-77.05808284,38.93483207,23169724,10/27/2023
-77.03078994,38.91629207,23173744,10/22/2023
-77.03336237,38.92051816,23173973,10/22/2023
-76.99850287,38.90804042,23174342,10/23/2023
-77.04254313,38.91558186,23174467,10/23/2023
-77.03273216,38.92952468,23175558,10/25/2023
-76.9663066,38.92424905,23175783,10/25/2023
-77.04554866,38.91475745,23176036,10/26/2023
-77.07838827,38.9324304,23176823,10/27/2023
-77.00130693,38.90021235,23176937,10/28/2023
-76.91685209,38.89793574,23177495,10/28/2023
-76.96730564,38.91893667,23177819,10/29/2023
-77.05190543,38.9242076,23178879,10/31/2023
-76.93582289,38.90932136,23187276,11/15/2023
-77.03325664,38.90965936,23187463,11/17/2023
-76.98231519,38.85241093,23187565,11/15/2023
-76.98399151,38.90904566,23187931,11/16/2023
-76.96477309,38.87422318,23188440,11/17/2023
-76.96367915,38.87900117,23189828,11/20/2023
-76.99704071,38.93281537,23190003,11/20/2023
-77.03491263,38.95835876,23190400,11/21/2023
-76.93290936,38.89298721,23178414,10/30/2023
-77.02594569,38.93868873,23178454,10/30/2023
-77.0250321,38.91947699,23179597,11/1/2023
-77.00255229,38.90565373,23179941,11/2/2023
-77.03753637,38.90134408,23180175,11/2/2023
-77.0280883,38.89674517,23180502,11/2/2023
-77.02294501,38.91614875,23181004,11/3/2023
-76.97809215,38.86543846,23181045,11/4/2023
-77.0376445,38.93211678,23181705,11/5/2023
-77.01862432,38.91622113,23181949,11/5/2023
-76.96009911,38.92915825,23182464,11/6/2023
-76.96311957,38.8787711,23182537,11/6/2023
-76.97621857,38.92147413,23183027,11/7/2023
-76.95947845,38.86892644,23184175,11/10/2023
-77.01062117,38.9002152,23184281,11/9/2023
-77.03273216,38.92952468,23184497,11/10/2023
-77.02962228,38.91865553,23185071,11/11/2023
-77.02795213,38.96198736,23185410,11/11/2023
-77.02795213,38.96198736,23185503,11/12/2023
-76.95785208,38.86386876,23185855,11/12/2023
-77.03195322,38.91665119,23185889,11/13/2023
-76.92813915,38.88082125,23185966,11/13/2023
-77.00174642,38.82163747,23186948,11/14/2023
-76.99089238,38.88127514,23187280,11/15/2023
-77.05475564,38.90190607,23187350,11/15/2023
-77.04165939,38.91593945,23177160,10/28/2023
-77.03273256,38.93667872,23177216,10/28/2023
-77.03736283,38.932966,23177761,10/29/2023
-77.01941968,38.90252805,23177862,10/29/2023
-77.01909954,38.97616595,23177994,10/29/2023
-77.00194481,38.82293403,23178729,10/31/2023
-77.03078937,38.91335661,23178916,10/31/2023
-77.00057318,38.83111854,23179362,11/1/2023
-76.94592008,38.90087799,23179681,11/1/2023
-76.9958484,38.92447255,23180302,11/2/2023
-77.02140113,38.92912085,23180552,11/3/2023
-76.98000347,38.92813775,23180771,11/3/2023
-77.0234591,38.89981922,23181104,11/4/2023
-77.01367411,38.86595685,23181453,11/4/2023
-77.04945589,38.90724894,23181913,11/5/2023
-77.07531223,38.96445867,23182924,11/7/2023
-76.99436192,38.82662417,23183462,11/8/2023
-77.01432715,38.97484567,23183517,11/8/2023
-77.00746436,38.87556663,23184353,11/9/2023
-76.97621286,38.9216415,23184625,11/10/2023
-76.93709379,38.90276436,23184859,11/11/2023
-77.02497894,38.89905986,23185571,11/12/2023
-76.92982365,38.88381624,23185689,11/12/2023
-77.03245281,38.95835857,23185713,11/12/2023
-77.03325664,38.90965936,23185959,11/13/2023
-77.0275645,38.90724958,23178291,10/30/2023
-76.97005153,38.87455292,23178604,10/30/2023
-76.98850787,38.84255336,23179052,10/31/2023
-77.04256708,38.90375065,23179369,11/1/2023
-77.01618858,38.89906717,23179666,11/1/2023
-76.99264644,38.88932317,23179741,11/1/2023
-77.03273216,38.92952468,23179834,11/1/2023
-77.02837777,38.9257553,23179915,11/2/2023
-76.98830579,38.89853,23180680,11/3/2023
-77.02463676,38.9170042,23180698,11/3/2023
-77.02660825,38.98448484,23180990,11/4/2023
