REPORT_DAT,REPORT_COUNTS
10/22/2023,107
10/23/2023,91
10/24/2023,74
10/25/2023,91
10/26/2023,111
10/27/2023,83
10/28/2023,74
10/29/2023,95
10/30/2023,108
10/31/2023,109
11/1/2023,81
11/2/2023,99
11/3/2023,104
11/4/2023,93
11/5/2023,89
11/6/2023,97
11/7/2023,115
11/8/2023,114
11/9/2023,122
11/10/2023,106
11/11/2023,56
11/12/2023,125
11/13/2023,120
11/14/2023,98
11/15/2023,123
11/16/2023,100
11/17/2023,96
11/18/2023,145
11/19/2023,113
11/20/2023,121
11/21/2023,24
