DISTRICT,District 1,District 2,District 3,District 4,District 5,District 6,District 7
ROBBERY,43,28,68,63,34,58,29
THEFT/OTHER,204,374,252,158,160,90,55
MOTOR VEHICLE THEFT,77,45,78,83,93,74,38
THEFT F/AUTO,94,134,176,104,66,69,31
BURGLARY,94,134,176,104,66,69,31
ASSAULT W/DANGEROUS WEAPON,9,7,16,14,17,23,33
SEX ABUSE,2,0,1,0,3,3,1
HOMICIDE,1,0,3,2,4,7,6
